settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-30,28.0,1551.0,2044.011,1495.429
2020-12-30,29.0,1122.0,1852.011,1501.29
2020-12-30,30.0,685.0,1852.011,1501.29
2020-12-30,31.0,290.0,1687.636,1530.891
2020-12-30,32.0,30.0,1687.636,1530.891
2020-12-30,33.0,0.0,1535.435,1614.99
2020-12-30,34.0,0.0,1535.435,1614.99
2020-12-30,35.0,10.0,1398.007,1675.054
2020-12-30,36.0,0.0,1398.007,1675.054
2020-12-30,37.0,0.0,1279.249,1672.669
2020-12-30,38.0,0.0,1279.249,1672.669
2020-12-30,39.0,0.0,1205.949,1710.55
2020-12-30,40.0,0.0,1205.949,1710.55
2020-12-30,41.0,0.0,1119.017,1711.777
2020-12-30,42.0,0.0,1119.017,1711.777
2020-12-30,43.0,0.0,1077.676,1716.474
2020-12-30,44.0,0.0,1077.676,1716.474
2020-12-30,45.0,0.0,1011.512,1768.685
2020-12-30,46.0,0.0,1011.512,1768.685
2020-12-30,47.0,0.0,991.282,1826.187
2020-12-30,48.0,0.0,991.282,1826.187
2020-12-31,1.0,0.0,1169.691,1566.664
2020-12-31,2.0,0.0,1169.691,1566.664
2020-12-31,3.0,0.0,1359.304,1661.023
2020-12-31,4.0,0.0,1359.304,1661.023
2020-12-31,5.0,0.0,1472.854,1721.974
2020-12-31,6.0,0.0,1472.854,1721.974
2020-12-31,7.0,0.0,1707.492,1821.691
2020-12-31,8.0,0.0,1707.492,1821.691
2020-12-31,9.0,0.0,1882.935,1971.376
2020-12-31,10.0,0.0,1882.935,1971.376
2020-12-31,11.0,0.0,2052.698,2113.501
2020-12-31,12.0,0.0,2052.698,2113.501
2020-12-31,13.0,0.0,2167.371,2268.093
2020-12-31,14.0,0.0,2167.371,2268.093
2020-12-31,15.0,0.0,2193.25,2335.558
2020-12-31,16.0,0.0,2193.25,2335.558
2020-12-31,17.0,86.0,2159.938,2407.587
2020-12-31,18.0,323.0,2159.938,2407.587
2020-12-31,19.0,764.0,2205.612,2438.827
